Gene,baseMean,log2FC,lfcSE,stat,pvalue,padj
Gstt4,0.487523276,-0.15920183,0.22202605,-0.755360266,0.450032847,NA
LOC120098903,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
LOC102552717,0.459353562,-0.15920183,0.22202605,-0.735534311,0.462014152,NA
LOC103694417,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
LOC120098935,0.487523276,-0.15920183,0.22202605,-0.755360266,0.450032847,NA
LOC102555625,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
Pln,0.431183847,-0.15920183,0.22202605,-0.714916486,0.474660649,NA
LOC120099222,0.431183847,-0.15920183,0.22202605,-0.714916486,0.474660649,NA
LOC120099556,0.497381574,-0.15920183,0.22202605,-0.761231258,0.446518951,NA
LOC120099465,0.431183847,-0.15920183,0.22202605,-0.714916486,0.474660649,NA
Ppp4r3c,0.487523276,-0.15920183,0.22202605,-0.755360266,0.450032847,NA
Il2rg,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
LOC120099393,0.459353562,-0.15920183,0.22202605,-0.735534311,0.462014152,NA
Rpl31l1,0.431183847,-0.15920183,0.22202605,-0.714916486,0.474660649,NA
LOC501618,0.431183847,-0.15920183,0.22202605,-0.714916486,0.474660649,NA
Fam199x,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
Gucy2f,0.431183847,-0.15920183,0.22202605,-0.714916486,0.474660649,NA
Cd40lg,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
RGD1566008,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
LOC120099343,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
LOC100911002,0.5635793,-0.15920183,0.22202605,-0.803739334,0.421547532,NA
LOC103694631,0.487523276,-0.15920183,0.22202605,-0.755360266,0.450032847,NA
Unc93a,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
LOC120100018,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
LOC120093672,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
Olr1585,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
Galntl6,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
LOC120097398,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
LOC120098008,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
LOC100362620,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
LOC102553626,0.525551288,-0.15920183,0.22202605,-0.780113314,0.43532418,NA
RGD1305347,0.833708914,-0.159026504,0.284069698,-0.573953315,0.565999394,NA
RGD1311744,103.3823141,-0.1590244,0.295041955,-0.538981278,0.589899773,0.732604078
Zfp687,638.4333799,-0.158899056,0.235844554,-0.673771403,0.500456659,0.659463319
Myzap,64.20063928,-0.158852919,0.296081334,-0.536618118,0.591531426,0.733844065
LOC100366030,38.11850557,-0.158658639,0.411395082,-0.385359847,0.699970827,0.814275976
Grb2,2096.021038,-0.158579703,0.187008826,-0.84797798,0.396450234,0.56302188
Snrpg,196.260248,-0.158523519,0.288385636,-0.549748311,0.582492016,0.726615632
Npc1,814.1815651,-0.158444918,0.217994653,-0.726840968,0.467323383,0.629811578
LOC103690158,10.8017516,-0.158419976,0.465466862,-0.340822886,0.73323692,0.837773044
Sgta,6519.347968,-0.158238302,0.272444246,-0.580813194,0.561366362,0.70846093
Ctrb1,11.07403788,-0.158231203,0.48773035,-0.323742848,0.746132728,0.846240946
Irf6,1.943896285,-0.158077666,0.399813892,-0.393353463,0.694058436,0.810397108
LOC102549494,14.50785166,-0.157992281,0.4731717,-0.33360816,0.73867526,0.84138149
Cryab,39.81725834,-0.157988423,0.401632233,-0.393389013,0.694032183,0.810397108
Ppp2r1b,1759.151602,-0.157882211,0.163106744,-0.967972295,0.333058206,0.499344948
LOC120095009,89.32826192,-0.157749393,0.328206981,-0.480680998,0.630743238,0.764486036
Cryl1,98.02267564,-0.157742569,0.287428954,-0.548889337,0.583081396,0.726960152
Cox5b,4372.538918,-0.157726332,0.174008571,-0.906429122,0.364708764,0.53108172
Hormad2,4.253136662,-0.157625058,0.415005089,-0.380257791,0.703754065,0.817292642
Sri,801.2929073,-0.157591319,0.176555492,-0.892600144,0.372071342,0.538168401
Stk40,3219.900375,-0.157440007,0.214904865,-0.732606873,0.463798238,0.626603568
Il21,2.010787176,-0.157413455,0.437621439,-0.358567513,0.719918653,0.828489517
Mtr,93.95796147,-0.157276403,0.451804626,-0.348010577,0.72783224,0.834317357
Esam,9.685595592,-0.157226753,0.478666179,-0.328626956,0.742437671,0.844188235
Phrf1,417.9523617,-0.157211605,0.229185846,-0.685982095,0.492724399,0.65208504
Ppp2r2a,4907.81958,-0.157178156,0.205741598,-0.76396245,0.44488962,0.608915576
Folr2,17.60589014,-0.157155297,0.449489883,-0.349962225,0.726367047,0.833376077
LOC309927,0.61360073,-0.157111673,0.262282344,-0.648921055,0.516389405,NA
Zcchc10,351.3483625,-0.157100881,0.259065645,-0.606410488,0.544242205,0.694650552
Rere,1495.655105,-0.157044747,0.188645799,-0.832494269,0.405130012,0.571322975
Fstl4,36.21017689,-0.156916193,0.371559779,-0.422553084,0.672621363,0.795536288
LOC100909866,51.4626068,-0.156861517,0.413006099,-0.380092302,0.7038769,0.8173009
Aar2,130.5885166,-0.156819394,0.294694198,-0.532178698,0.594602235,0.736249292
LOC120095463,1.811265231,-0.1567473,0.402277856,-0.39049374,0.696171484,0.811791462
Mkrn2,305.5030028,-0.156696788,0.215139435,-0.728380256,0.466380846,0.629181522
Kif11,59.45159565,-0.156596124,0.327157936,-0.47885686,0.632040463,0.765322788
Dcaf12l1,109.957893,-0.156488935,0.366082071,-0.427385194,0.66909879,0.79298855
Pkn2,1471.49419,-0.156482875,0.227222221,-0.688696743,0.491014126,0.650319549
Zfp444,361.7871967,-0.156473063,0.234237247,-0.668067605,0.504090439,0.662076484
Inca1,1.353476288,-0.156289503,0.3121805,-0.52262849,0.60123281,0.740774751
Cacul1,1592.391887,-0.156243136,0.187605027,-0.832842508,0.404933558,0.571180534
Trnah-gug_8,2.57046791,-0.156213305,0.432645081,-0.364575947,0.715427972,0.825319204
LOC102549239,33.81391724,-0.156175549,0.377911167,-0.413418575,0.679299968,0.80016893
Rnf43,21.93219986,-0.156054808,0.439504138,-0.354997897,0.722591167,0.830225417
Sestd1,227.5889179,-0.155994015,0.25046401,-0.622831434,0.533395299,0.685667177
LOC120100682,10.91334307,-0.155884989,0.483363381,-0.322724403,0.746903969,0.846698375
Ccndbp1,1413.75357,-0.155878388,0.18987196,-0.820967266,0.411664914,0.577639236
Higd2a,2020.106516,-0.155801718,0.211382803,-0.737065896,0.461082278,0.624329887
Mcm2,217.0315442,-0.155740524,0.354042734,-0.439833225,0.660057902,0.786395121
Eid3,1.086886975,-0.155724427,0.298901079,-0.555605546,0.578480539,NA
Repin1,1112.455609,-0.15563034,0.194701385,-0.799331235,0.424098372,0.588935528
Zfp26,249.1409051,-0.155607279,0.322301994,-0.482757243,0.629268113,0.763079509
Zfp710,168.7199176,-0.155442381,0.353762064,-0.439346633,0.66041039,0.786612915
Pcdh18,5.356499931,-0.155233334,0.458150746,-0.338470289,0.735008813,0.838871932
Pcp4,75.41434706,-0.155183297,0.309529048,-0.501513442,0.61600982,0.753027233
St3gal1,3.510193525,-0.155120509,0.444549815,-0.346881202,0.728680569,0.835100358
LOC120103385,2.449915696,-0.155070061,0.393999528,-0.39860453,0.690184623,0.808011457
Parp14,44.99854138,-0.154913261,0.371079842,-0.417742754,0.676135209,0.797961761
Tlr1,1.512965903,-0.15483512,0.357562469,-0.443733519,0.657235258,0.783903458
Scn7a,10.91305121,-0.154721005,0.483210472,-0.320308396,0.748734559,0.847864729
Odam,2.214635455,-0.154624817,0.37388186,-0.414920169,0.678200345,0.799457146
Dpp3,457.8316046,-0.15455079,0.205812474,-0.750933776,0.452692512,0.616591106
Rnft1,78.73438025,-0.1545407,0.336004881,-0.459963447,0.645542458,0.775227886
Ttc9c,798.3742826,-0.154358798,0.244510116,-0.631321694,0.527830205,0.681394841
Lonrf1,608.5588111,-0.154297257,0.41861946,-0.36856641,0.712450937,0.823011321
Rassf1,1072.102754,-0.154295468,0.23163053,-0.666144354,0.505318837,0.662996334
Rbpms,9.179955343,-0.154123713,0.486433543,-0.316576673,0.751564838,0.850083372
LOC103691969,1.057991074,-0.154103107,0.331017223,-0.473681894,0.635726767,NA
LOC120100651,2.232148906,-0.154045421,0.370420581,-0.423945166,0.671605804,0.794811058
LOC102549910,0.585431016,-0.153990611,0.259960365,-0.620972418,0.534617771,NA
Nmu,1.824829993,-0.153759403,0.36550159,-0.423830748,0.671689252,0.794839425
Wars1,379.005102,-0.153737964,0.235994398,-0.651508306,0.514718417,0.670961238
Mrpl3,729.5998711,-0.153455887,0.250102584,-0.613562277,0.539504618,0.690747959
Tmsb4x,21834.23218,-0.153427446,0.321628073,-0.477034257,0.633337728,0.766350242
Zfp667,51.39824499,-0.153286555,0.372252028,-0.412168155,0.680216177,0.800892029
Rp1,4.50311786,-0.152993479,0.440380629,-0.350681101,0.725827606,0.832894172
Mcm10,176.0842588,-0.152958022,0.228481377,-0.669537956,0.503152377,0.661439271
Kif9,4.64957528,-0.152957853,0.479537549,-0.321598972,0.747756523,0.847285416
Tmco5b,1.359747094,-0.152869356,0.315505394,-0.495437305,0.620291467,0.755968759
Neil2,19.05956092,-0.152803922,0.487767076,-0.313717817,0.753735368,0.85149963
LOC108351999,0.624434988,-0.152580788,0.263736295,-0.652319337,0.514195188,NA
Asb14,0.624434988,-0.152580788,0.263736295,-0.652319337,0.514195188,NA
Cox6a1,5134.807433,-0.152532506,0.156737691,-0.973172,0.330467824,0.496585484
Lyrm9,85.14103794,-0.152521733,0.33817348,-0.451179298,0.651860329,0.78013722
LOC100365810,29.33750196,-0.152437283,0.488104559,-0.312281272,0.754826772,0.852213396
Rbpms2,12.51951498,-0.152400172,0.479991906,-0.31879783,0.749879824,0.848643367
Rps26,3612.838032,-0.152343758,0.197274769,-0.772242071,0.439971068,0.603877388
Zfp628,79.51777638,-0.15216995,0.332069491,-0.458507933,0.646587565,0.775907056
Stxbp6,422.5165202,-0.15213229,0.21009678,-0.724105368,0.469001049,0.631273065
Tns1,1654.589377,-0.152125308,0.390985191,-0.389083425,0.697214434,0.812598821
LOC120100368,1.060135095,-0.152115467,0.263390743,-0.625717635,0.531500164,NA
LOC120101778,1.060135095,-0.152115467,0.263390743,-0.625717635,0.531500164,NA
LOC120101827,1.060135095,-0.152115467,0.263390743,-0.625717635,0.531500164,NA
LOC120097866,1.060135095,-0.152115467,0.263390743,-0.625717635,0.531500164,NA
Wscd2,7.519152313,-0.152103476,0.487971102,-0.31258841,0.754593385,0.85209037
Pcolce,296.6302253,-0.152074579,0.240321503,-0.632863929,0.526822505,0.680646061
hist1h2ail2,1.599908585,-0.152063576,0.328199554,-0.474671602,0.635021062,0.767713884
LOC120102338,22.15024441,-0.152062466,0.449922173,-0.338701875,0.734834328,0.838834828
Zbtb10,148.0327991,-0.151391874,0.245976029,-0.615590078,0.538165101,0.689647234
LOC102555900,0.734825214,-0.15131128,0.238777149,-0.669105647,0.503428088,NA
LOC102552429,0.734825214,-0.15131128,0.238777149,-0.669105647,0.503428088,NA
Lrrc9,0.734825214,-0.15131128,0.238777149,-0.669105647,0.503428088,NA
LOC120096558,0.734825214,-0.15131128,0.238777149,-0.669105647,0.503428088,NA
Ddit4,11791.30462,-0.151305439,0.193017179,-0.783897067,0.433100511,0.597143488
Ndufs7,762.5773639,-0.150852625,0.247609163,-0.609267124,0.542347395,0.692998589
Fxyd1,38.27190692,-0.150781235,0.352135883,-0.428495523,0.668290393,0.792537014
Krt32,5.544199006,-0.150732361,0.484741662,-0.311814914,0.755181189,0.85240594
Nop2,77.08239989,-0.150725103,0.315976455,-0.477257609,0.633178693,0.766235888
LOC102554478,1.021467835,-0.150720227,0.259725485,-0.627658449,0.53022771,NA
Aqp12a,1.021467835,-0.150720227,0.259725485,-0.627658449,0.53022771,NA
LOC120095474,1.021467835,-0.150720227,0.259725485,-0.627658449,0.53022771,NA
LOC120096314,1.021467835,-0.150720227,0.259725485,-0.627658449,0.53022771,NA
Prkcsh,1423.227946,-0.150692509,0.235914518,-0.638777853,0.522967458,0.677286323
Fbxl8,28.0329352,-0.150310647,0.40947658,-0.36755292,0.713206625,0.823550286
Nicn1,636.8635521,-0.150284217,0.232032977,-0.647715925,0.517168702,0.672453492
LOC120094681,4.54820933,-0.150123046,0.459469837,-0.326178488,0.744289316,0.845298554
LOC100910676,2.011743757,-0.150078391,0.379572446,-0.402613347,0.687232689,0.806184333
LOC103693588,47.73643348,-0.150050616,0.44470659,-0.337643451,0.735631894,0.839125382
Znf408,36.14372114,-0.1499334,0.443192005,-0.338145232,0.735253746,0.838900456
RGD1309350,0.871057932,-0.149894095,0.2505528,-0.74765623,0.454667538,NA
Egflam,0.871057932,-0.149894095,0.2505528,-0.74765623,0.454667538,NA
Trnaa-agc_68,0.871057932,-0.149894095,0.2505528,-0.74765623,0.454667538,NA
Pmfbp1,0.871057932,-0.149894095,0.2505528,-0.74765623,0.454667538,NA
Ube2l3,1849.360247,-0.149782181,0.172991142,-0.865844098,0.386575662,0.553315057
Cisd1,2370.97662,-0.149652595,0.164818289,-0.907985685,0.363885785,0.530437903
LOC100910636,0.596265274,-0.149618478,0.261472861,-0.624454321,0.53232926,NA
Ccdc184,48.16168682,-0.149487423,0.390462959,-0.382970012,0.701741999,0.815517792
Rnf212,5.041992275,-0.14931711,0.465335606,-0.323410264,0.746384558,0.84639242
Spint1,8.277728399,-0.149308558,0.481906307,-0.311110426,0.755716675,0.852647053
Fam107a,2.104409052,-0.149284116,0.385697483,-0.392628365,0.694593986,0.810716704
Pitpnm3,2.142437064,-0.148991741,0.379580022,-0.39923216,0.689722149,0.807776025
Lrrc51,26.51919076,-0.148908253,0.428569813,-0.347970461,0.727862367,0.834317357
Dvl2,852.6807584,-0.148371221,0.232138153,-0.63916722,0.522714154,0.677081558
Rgs7bp,124.3026118,-0.148268492,0.292421865,-0.506988611,0.612162809,0.749906519
Klhl25,65.85142457,-0.148254844,0.317577802,-0.466953317,0.640533278,0.771761441
Eef1akmt3,0.745659471,-0.147904677,0.23999268,-0.672491438,0.501270889,NA
Wdr73,13.27776253,-0.147903048,0.48173482,-0.308106187,0.758001533,0.854185502
Ranbp2,611.846486,-0.14753348,0.192311768,-0.767177698,0.442975871,0.60692342
Galns,116.4833675,-0.147287589,0.313545384,-0.469686407,0.638579081,0.770622988
Trim32,782.1337529,-0.1472663,0.204540699,-0.719995992,0.471527463,0.633451696
LOC120102382,124.241416,-0.147016095,0.326520107,-0.450428195,0.652401718,0.780432557
Pelo,345.0629591,-0.147010784,0.205556441,-0.715231011,0.47446631,0.635879501
Ppp1r16a,98.49998258,-0.146926673,0.307625838,-0.47780466,0.632789244,0.765964551
Gcnt4,8.90527223,-0.14688982,0.467906562,-0.316170564,0.751873049,0.850276389
LOC100361008,500.3855574,-0.146878721,0.241582801,-0.608027081,0.543169513,0.693474579
Dym,150.8773341,-0.146847713,0.295605127,-0.496884366,0.619270597,0.755294606
Shisa9,23.08331604,-0.146832037,0.451101191,-0.326130159,0.74432588,0.845298554
Myl12a,730.8688039,-0.146724227,0.379247579,-0.386864617,0.698856437,0.813745363
Adamts19,1.86115586,-0.146703926,0.374925865,-0.390911627,0.695862559,0.811635391
LOC103691074,1.91310983,-0.146284551,0.371734843,-0.398357086,0.690366987,0.808173929
Pdrg1,2612.423799,-0.146208089,0.253716277,-0.576272603,0.564430938,0.711166874
Dis3l2,216.8290824,-0.146091621,0.291430575,-0.501371848,0.616109449,0.753099374
LOC120095624,1.239194879,-0.146059807,0.272058196,-0.571598922,0.567593726,NA
Snupn,786.5062375,-0.14605271,0.176875237,-0.82575548,0.408942813,0.575256152
LOC102551211,58.51097542,-0.145979011,0.327827192,-0.445330178,0.656081162,0.783318073
Prss56,2.649779923,-0.145863518,0.42703686,-0.339042155,0.734577973,0.838645448
Atox1,572.6650357,-0.145845705,0.193263211,-0.754648857,0.450459701,0.614679095
Trnap-agg_31,5.774573876,-0.145774184,0.47319052,-0.309679372,0.756804791,0.853407397
Col23a1,9.845869001,-0.145732758,0.472546324,-0.308134484,0.757980003,0.854185502
Snrpb,920.3995834,-0.145718891,0.324760484,-0.448684734,0.653659099,0.781533346
Tcp11l1,1295.245629,-0.145545002,0.16040432,-0.907370763,0.364210765,0.530689943
Faxc,4.977929669,-0.14553753,0.487076169,-0.30024067,0.763993585,0.858324324
Trnas-aga_9,0.558237261,-0.145410482,0.258204528,-0.58727052,0.557022037,NA
LOC108351666,0.558237261,-0.145410482,0.258204528,-0.58727052,0.557022037,NA
LOC120095502,0.558237261,-0.145410482,0.258204528,-0.58727052,0.557022037,NA
Clip2,814.5695608,-0.145382606,0.235169966,-0.618233215,0.536421618,0.688269171
Ing4,1709.935095,-0.145364287,0.164733984,-0.88242616,0.377546394,0.54375478
Slc22a14,1.161240854,-0.145343013,0.30384676,-0.497880935,0.618567966,NA
Ano6,807.0586873,-0.145258134,0.218567605,-0.664583618,0.50631685,0.663864395
LOC102554173,2.278544551,-0.145158885,0.347744488,-0.419745131,0.674671652,0.797046154
LOC120100946,3.260458047,-0.145139521,0.456951321,-0.317155369,0.751125713,0.849742182
LOC502684,4.066518678,-0.145089133,0.471740519,-0.310315906,0.756320737,0.853017178
LOC120096690,21.83681672,-0.145066489,0.461795024,-0.313870069,0.753619724,0.851472736
Strada,100.236037,-0.144922447,0.303072066,-0.478310152,0.632429472,0.76562902
LOC108349099,2.630347639,-0.144692453,0.458494939,-0.31772085,0.750696694,0.849412302
Adprhl1,4.355724122,-0.144626986,0.447135272,-0.324302162,0.745709283,0.845985449
Trnam-cau_6,1.561543861,-0.144622658,0.323683105,-0.451672688,0.651504797,0.78013722
Nova1,662.5998044,-0.144613536,0.228351208,-0.633325805,0.526520905,0.680367745
Top1mt,44.51844201,-0.144597126,0.389698354,-0.370839014,0.710757441,0.821976751
Agbl4,3.307604,-0.144352539,0.459334486,-0.312293624,0.754817385,0.852213396
Ift46,254.7119864,-0.144218957,0.222929776,-0.646971397,0.517650456,0.672843993
Emc9,11.84443862,-0.144206023,0.481651761,-0.300281676,0.763962309,0.858324324
Ankrd23,7.354412806,-0.144191376,0.484772128,-0.298078598,0.765643176,0.859297991
Stx5,818.4890256,-0.14412351,0.239572062,-0.601608751,0.547434602,0.696998066
Zbtb2,334.3603569,-0.143960481,0.229934239,-0.626098664,0.531250229,0.68416414
Kcnd1,19.18948585,-0.143666542,0.478997675,-0.299822246,0.764312746,0.858324324
Kcp,4.973366217,-0.143633376,0.48776379,-0.295283839,0.767777061,0.860963355
Ssna1,315.1905657,-0.143593809,0.257754443,-0.557148278,0.577426124,0.722483983
Bmi1,1942.327157,-0.143548735,0.164085871,-0.874843259,0.381659196,0.547890878
Plekha1,8106.899394,-0.143456264,0.17792811,-0.806262397,0.420091567,0.585475982
Vps39,265.6231625,-0.143454124,0.231327543,-0.620199848,0.535126222,0.687095453
LOC108349047,2.828108314,-0.143427622,0.422643298,-0.341093864,0.733032921,0.837703555
Zfp523,1321.134623,-0.143390075,0.162012833,-0.885061215,0.376123616,0.542406727
Hipk4,4.244932954,-0.14331176,0.424388365,-0.33795439,0.735397559,0.83893269
C7,1.04313635,-0.143252988,0.260367173,-0.597798558,0.549974353,NA
LOC100363452,181.426002,-0.143224336,0.262787457,-0.545044766,0.585722729,0.728929971
Has2,13.75476967,-0.143192886,0.480108159,-0.298298046,0.765475696,0.859214033
Nedd9,39.22176509,-0.143139758,0.356355067,-0.401748037,0.687869468,0.806625153
Cdk5,672.70246,-0.143130628,0.169988856,-0.84202301,0.399775074,0.566528788
LOC120101602,2.092415633,-0.143109185,0.340763506,-0.431816205,0.665875001,0.790882216
Cdkl5,182.1877101,-0.143021811,0.317381276,-0.450615985,0.652266344,0.780320955
Ccser2,797.7540832,-0.143002852,0.223336712,-0.640305535,0.521973983,0.676519436
Cptp,157.7608363,-0.142812164,0.24537521,-0.582095505,0.560502353,0.707804081
Ift80,66.24150971,-0.142777212,0.408881864,-0.349293686,0.726868838,0.833745445
Kmt2c,605.5829899,-0.142580247,0.23298036,-0.612017113,0.540526435,0.691526265
Coa6,186.4954537,-0.142323109,0.230758151,-0.61680076,0.537366151,0.68905197
Cmtm5,3073.965058,-0.142248943,0.213050874,-0.667678558,0.5043388,0.662179025
Fbxw7,472.820798,-0.142208666,0.249199277,-0.570645224,0.568240156,0.714461433
LOC102552572,4.902734427,-0.142174498,0.457859452,-0.311515967,0.755408406,0.852454849
Pde7b,559.5818238,-0.142119727,0.379936097,-0.374036244,0.708377352,0.820520138
Zbtb22,788.1375523,-0.1421046,0.175335272,-0.810497523,0.417654288,0.583311138
Dcaf16,0.874598232,-0.142066315,0.285648726,-0.516849151,0.605261466,NA
Hbegf,48.231244,-0.142051152,0.362165473,-0.392239383,0.694881347,0.810898982
Cntnap5c,14.64769088,-0.141898562,0.460156033,-0.308550719,0.757663313,0.85406388
LOC120103519,11.64852355,-0.141892108,0.472438186,-0.301058418,0.763369949,0.858149073
B3gnt8,1.254592588,-0.141813036,0.270002687,-0.573246969,0.566477486,NA
LOC120095605,1.254592588,-0.141813036,0.270002687,-0.573246969,0.566477486,NA
Heg1,181.8334274,-0.141777793,0.250669261,-0.565616032,0.571654827,0.717053065
Qk,21555.51584,-0.141689658,0.195333293,-0.725373962,0.468222643,0.630748453
Pigc,805.8617778,-0.14159182,0.188225744,-0.752255144,0.451897638,0.615961327
Ubr5,755.3205712,-0.141520375,0.194386666,-0.728046742,0.466584974,0.62931955
LOC102555525,2.370951172,-0.141414207,0.428362239,-0.327970549,0.74293393,0.844441821
Banp,269.6085099,-0.141404658,0.263984336,-0.535711589,0.592157893,0.734326477
Atxn10,2401.875591,-0.141398004,0.166082557,-0.85137202,0.394562729,0.561545528
Qrich1,278.4078432,-0.141305583,0.244602543,-0.577755051,0.563429506,0.710291204
Ubl4a,308.3130521,-0.141110315,0.29058309,-0.48566462,0.627204972,0.761591369
Hgs,848.443778,-0.141072176,0.220245673,-0.64053769,0.521823094,0.676371147
LOC102548944,35.24061442,-0.141054558,0.360692625,-0.39131255,0.695566223,0.811493927
Tdg,2809.28216,-0.141050932,0.173447472,-0.813226904,0.416087977,0.581908089
Odad3,4.351868007,-0.140912817,0.483593358,-0.291662597,0.770544609,0.862918752
Acly,3419.275824,-0.140888953,0.174479745,-0.807483508,0.419387972,0.585184714
Trnaa-agc_33,1.802133119,-0.140790208,0.362404218,-0.394784573,0.693001881,0.80981148
Cd320,98.80526177,-0.140559189,0.278683998,-0.504488254,0.613918314,0.751510912
Stbd1,9.273034234,-0.140467858,0.486977337,-0.288197122,0.773195852,0.864269738
Scd,12080.37851,-0.140421057,0.224544825,-0.625359673,0.531735023,0.684512638
Ahnak2,3.460475785,-0.140416212,0.467462549,-0.299878773,0.764269626,0.858324324
Golm1,360.9106701,-0.140277572,0.225841005,-0.621178813,0.534481978,0.686588106
LOC120103550,5.78936437,-0.14027121,0.469073846,-0.300031061,0.764153463,0.858324324
Upb1,1.260124554,-0.140267036,0.344068087,-0.415897241,0.677485198,NA
LOC102547387,2.6022236,-0.140153097,0.351431182,-0.403594455,0.686510964,0.805643491
Tex261,1426.579865,-0.139905343,0.170886687,-0.818709398,0.412952233,0.578963652
LOC120094811,1.672454,-0.139852685,0.327122977,-0.430921138,0.666525713,0.791176912
Trnar-acg_1,2.090680467,-0.139531006,0.433027237,-0.322997573,0.74669708,0.846643265
Tekt1,150.8538555,-0.139467933,0.324590058,-0.429782665,0.667353744,0.791922219
Ppil4,1021.953864,-0.139443951,0.176529467,-0.789937376,0.429564342,0.593990425
Lifr,1181.18351,-0.139438746,0.231511661,-0.602315174,0.546964362,0.696638517
Sema7a,1.47935637,-0.139403339,0.28054677,-0.524218027,0.600126904,0.739854609
Smtnl2,71.23493159,-0.139382701,0.322893083,-0.431699547,0.665959797,0.790882216
LOC120093343,1.366195893,-0.139261675,0.31264754,-0.46296663,0.643388286,0.77369319
LOC102551714,6.920870891,-0.13924383,0.486331033,-0.287310244,0.77387478,0.864611679
Htr1b,9.471990062,-0.139021577,0.485765973,-0.286518034,0.774481383,0.864976708
Fancl,206.9529197,-0.139020468,0.214341041,-0.64865045,0.516564338,0.672186142
Zfp414,546.7761139,-0.138772979,0.254830465,-0.544600983,0.586027978,0.7290652
Pcsk4,4.555756031,-0.138658845,0.462883522,-0.300666191,0.763669053,0.858324324
Ppm1e,175.4377266,-0.13862549,0.240456232,-0.576526826,0.564259143,0.711111915
Trnap-agg_5,1.731371941,-0.138550868,0.374218323,-0.369815827,0.711519722,0.822396696
LOC102553857,1.638127245,-0.138465727,0.283947663,-0.520850233,0.602471106,0.741812987
Rgl1,84.84704954,-0.138095076,0.286911675,-0.481406675,0.630227494,0.764010749
Cdc25c,8.917536149,-0.137990269,0.480597149,-0.286967696,0.774137055,0.864800495
LOC120093563,1.725207453,-0.137967719,0.398320103,-0.350641675,0.725857187,0.832894172
Cep19,573.6027641,-0.137952885,0.212757619,-0.648424999,0.516710106,0.67218714
Trnas-aga_20,1.634527098,-0.137921715,0.320802411,-0.447027401,0.654855276,0.782509433
LOC120095082,3.124225329,-0.137878986,0.451972896,-0.30311819,0.761799792,0.856992259
Haus7,379.8945369,-0.137738182,0.216806886,-0.635347317,0.52520192,0.67916807
LOC102551152,0.992519535,-0.137592425,0.293834173,-0.49203163,0.622696983,NA
LOC680933,0.992519535,-0.137592425,0.293834173,-0.49203163,0.622696983,NA
Pccb,255.176329,-0.137471892,0.203066464,-0.67703002,0.498386908,0.657670682
Slc29a2,35.11679537,-0.137440835,0.453257317,-0.303429045,0.761562914,0.856948912
S100a8,0.88543249,-0.137220792,0.285852191,-0.498458495,0.618160916,NA
LOC108351542,0.88543249,-0.137220792,0.285852191,-0.498458495,0.618160916,NA
Fbxw2,946.6637902,-0.137153599,0.170063858,-0.806487415,0.419961861,0.585383207
LOC102554142,3.746959689,-0.137074305,0.452686042,-0.303729788,0.761333762,0.856795045
Hypk,2118.406276,-0.137057035,0.175609523,-0.780468559,0.435115127,0.599074829
LOC685963,129.3920228,-0.136995297,0.456370413,-0.300183109,0.764037489,0.858324324
Arpin,90.04755369,-0.136967864,0.307288452,-0.445770597,0.655762963,0.783139861
Zfp641,227.7059874,-0.13690415,0.247581707,-0.553040554,0.580235641,0.724703075
Trappc14,294.9535402,-0.136898673,0.26349519,-0.519590643,0.603348921,0.742592529
Lysmd4,523.7466716,-0.13683078,0.202257603,-0.676541168,0.498697117,0.658033206
Piga,11.38908365,-0.136792846,0.482748428,-0.284275231,0.776199466,0.866060936
LOC103694034,3.689445474,-0.136720231,0.446014453,-0.307913112,0.758148448,0.854195326
Ankrd34a,124.159153,-0.136605613,0.258764662,-0.527930427,0.597547625,0.738120103
LOC120098952,3.068894881,-0.136504749,0.403647329,-0.338206363,0.735207681,0.838900456
Tnxa-ps1,70.08104922,-0.136086141,0.296510238,-0.45908931,0.646170033,0.775780571
Aida,1525.699104,-0.136056019,0.202415684,-0.672170555,0.501475124,0.660199524
Traf6,498.7078351,-0.135996009,0.18066403,-0.752767256,0.451589787,0.615661489
LOC103691539,0.646286704,-0.135988449,0.300737718,-0.43870332,0.660876521,NA
Cnbp,5300.968882,-0.135965193,0.191298556,-0.710749345,0.477239576,0.63792369
Gar1,860.6674101,-0.13577514,0.484018078,-0.280558685,0.779048908,0.867934625
Znf750,0.78654879,-0.135751069,0.244160048,-0.684075652,0.493927396,NA
