Gene,baseMean,log2FC,lfcSE,stat,pvalue,padj
Serpinb6b,3.922754849,-0.592202084,0.424194798,-1.502720128,0.13291123,0.26489391
LOC103692785,52.77762868,-0.591678575,0.390158132,-1.517650379,0.129102559,0.259907518
B4galt2,1680.108617,-0.591596762,0.263155455,-2.248148711,0.024566709,0.077486049
LOC100360439,5.29018722,-0.591555581,0.486297458,-1.221629696,0.221847693,0.376887016
Chmp5,8706.312188,-0.590995888,0.152842993,-3.866700573,0.000110318,0.000963224
Ppm1g,2248.660828,-0.590958326,0.189722123,-3.114896964,0.001840092,0.009845078
Rpl10,127.9593214,-0.590885415,0.303044793,-1.950758844,0.05108574,0.134122535
LOC103691146,3.87201649,-0.590682708,0.364289214,-2.504121045,0.012275603,0.045461655
LOC120094881,1.688020049,-0.590535869,0.361140022,-2.063355409,0.039078873,0.109810509
Samd1,425.8535885,-0.590115548,0.321128087,-1.837805905,0.066091011,0.162042261
Rps4x,29.99165659,-0.590052792,0.409645911,-1.441564576,0.149425248,0.287874532
LOC120096808,2.727951655,-0.589824253,0.36314417,-2.315070173,0.020609092,0.067878223
Trps1,654.2596457,-0.589622117,0.187573813,-3.143526786,0.001669251,0.009113953
Rtl4,7.916380558,-0.589281452,0.472712078,-1.275498746,0.202132768,0.354033051
Cfap77,17.17327672,-0.589197572,0.437197761,-1.349017095,0.177331475,0.322662894
LOC103691697,10.69920451,-0.589042626,0.48801682,-1.210000678,0.226278633,0.382088553
LOC102549740,9.275315218,-0.588977776,0.483773908,-1.217884604,0.223267828,0.378398257
Slc35f3,15.81191817,-0.588896558,0.473854059,-1.268533249,0.204607585,0.356750206
Rims3,11.90772702,-0.58869164,0.481617524,-1.222899771,0.221367555,0.376474505
Arhgef33,6.275302096,-0.588622149,0.47119234,-1.267160175,0.205098023,0.357403687
Cfh,4.679210677,-0.588449963,0.484546873,-1.217416888,0.223445641,0.378630404
Actb,76979.70941,-0.588436488,0.168610591,-3.489917363,0.00048317,0.003317075
Zpbp,13.34718039,-0.58839147,0.487709672,-1.210682358,0.226017166,0.381971452
Hmgn1,6345.793439,-0.588325249,0.199760144,-2.945175128,0.003227719,0.015598539
LOC103691608,3.244957315,-0.588271978,0.363322997,-2.402674385,0.016275672,0.056559182
LOC102555916,3.244957315,-0.588271978,0.363322997,-2.402674385,0.016275672,0.056559182
Tmem63b,2561.104888,-0.588226477,0.315724441,-1.863165893,0.06243893,0.15573237
LOC102549680,3.73672892,-0.58819179,0.453252105,-1.333036421,0.182519852,0.329645039
LOC102547058,2.558002429,-0.588070512,0.404173534,-1.631655953,0.102751984,0.222176101
Fam83f,22.08319879,-0.587956588,0.410540876,-1.433725947,0.151650485,0.290801958
Fsip2,1.669708633,-0.58788927,0.360545744,-2.053822779,0.039992847,0.11184859
Bcl6b,30.34740178,-0.587680706,0.451579321,-1.303316993,0.192466562,0.3419804
Pbk,64.12735423,-0.587603853,0.348377826,-1.687884793,0.091433346,0.2043694
LOC103694285,2.958062746,-0.587493282,0.394144958,-1.72781944,0.084020601,0.192203169
Cd22,4.150097501,-0.587204615,0.407508531,-1.625416001,0.104073949,0.224358232
Pank3,7434.559142,-0.586889781,0.218802872,-2.68228221,0.007312175,0.030177629
Prmt8,43.88221986,-0.58682136,0.398309203,-1.473266754,0.140679121,0.27563535
Tes,127.4210206,-0.586787612,0.264143492,-2.222017839,0.0262821,0.081551034
Fam89b,615.8111525,-0.586752153,0.249518533,-2.351692673,0.018688208,0.062972096
Amotl1,639.9308528,-0.586478501,0.217007468,-2.7026052,0.006879841,0.028745581
Snx5,4589.230377,-0.586327427,0.205433681,-2.854118322,0.004315645,0.019744637
LOC103690558,5.417595867,-0.586230722,0.430965497,-1.467496939,0.142240921,0.277639306
Cbs,47.13547261,-0.586051191,0.36867819,-1.590091176,0.111814255,0.235530129
Tmem258,1474.956948,-0.585916233,0.198596544,-2.950301119,0.003174644,0.015383886
Fosl1,6.19444109,-0.585910271,0.485106148,-1.218329661,0.223098723,0.378146218
Zbtb16,164.118482,-0.585891538,0.279180123,-2.099330287,0.035787795,0.103125577
LOC120093589,11.50998987,-0.585535504,0.469623199,-1.25098647,0.210939414,0.364364188
Creb3l1,24.55442206,-0.585300947,0.408195564,-1.433753846,0.15164252,0.290801958
Elapor1,72.98093715,-0.585169942,0.395663366,-1.480579159,0.138718752,0.272890073
Hk2,6.808766786,-0.58507133,0.422852102,-1.533081306,0.125255823,0.254980649
Trim25,71.73117246,-0.585039532,0.332609425,-1.759624861,0.078471433,0.1828699
LOC103692890,2.740906204,-0.584907964,0.449975413,-1.332814784,0.182592593,0.329744298
Ipo4,798.6507428,-0.584856085,0.222665623,-2.626793056,0.008619374,0.0344682
Pramef27,2.931731187,-0.58472862,0.41353009,-1.509544865,0.131159599,0.262673339
Trnal-aag_9,4.178411467,-0.584596719,0.457672085,-1.314463447,0.188690291,0.337358682
Has3,6.419685759,-0.584463887,0.470040997,-1.273376355,0.202884524,0.354913936
Trnat-ugu_3,5.243994121,-0.584380954,0.410873773,-1.589192414,0.112016959,0.235689375
Pds5b,588.4711535,-0.584281243,0.180130022,-3.243865712,0.001179193,0.006860929
LOC102552601,2.970385793,-0.584149259,0.426056424,-1.454391972,0.145837664,0.282666229
Chac1,150.1627446,-0.584142304,0.257445937,-2.269553246,0.023234703,0.07432139
Bop1,167.4780844,-0.583905668,0.320559421,-1.821984094,0.068457399,0.165848648
LOC120094140,9.243360702,-0.583174779,0.477738965,-1.224333924,0.220826284,0.375771478
Src,1324.181336,-0.582918595,0.251285393,-2.319855194,0.020348712,0.067340578
Sphk2,1441.380074,-0.582723013,0.23359116,-2.494719554,0.012605672,0.046378366
LOC120102984,14.41967992,-0.582646913,0.449689604,-1.295947454,0.194993589,0.345307622
Dock4,439.6376583,-0.582638965,0.240420068,-2.423705825,0.015363045,0.053964186
RGD1561755,1.81910283,-0.582495843,0.359957863,-2.091261438,0.036504635,0.10462217
Lgals1,696.1486908,-0.582435379,0.208058386,-2.799535511,0.005117619,0.022632007
Trem3,3.562623874,-0.582204965,0.392017912,-1.77885348,0.075263787,0.177733219
LOC120099464,3.249080347,-0.582042363,0.362006907,-2.389792971,0.016857873,0.058126393
Ahcyl2,217.7531214,-0.58199535,0.214397962,-2.715009133,0.006627394,0.027828753
Washc4,1507.52084,-0.581403348,0.20148762,-2.885652859,0.003906027,0.018189217
Trnaa-agc_86,9.60052264,-0.581135986,0.486240602,-1.198220328,0.230831254,0.387034345
Enho,423.8832224,-0.581095962,0.322993051,-1.799265969,0.071976619,0.172114971
LOC102555648,2.768697518,-0.581094488,0.361337071,-2.304281397,0.021206853,0.069303195
LOC100361642,2.768697518,-0.581094488,0.361337071,-2.304281397,0.021206853,0.069303195
LOC108350768,2.768697518,-0.581094488,0.361337071,-2.304281397,0.021206853,0.069303195
LOC102556604,2.768697518,-0.581094488,0.361337071,-2.304281397,0.021206853,0.069303195
LOC120100001,6.567050433,-0.580960149,0.483386693,-1.212241063,0.225420117,0.381244548
LOC100363177,2.534196619,-0.580914907,0.455794599,-1.298077825,0.194260593,0.344474915
LOC120097179,3.437712306,-0.580836304,0.413156883,-1.533826067,0.125072448,0.254785605
LOC120095408,5.798946036,-0.580745144,0.469347108,-1.263051366,0.206570721,0.35915995
LOC120099100,2.833490064,-0.580712577,0.361328685,-2.315590631,0.020580631,0.067844736
LOC120102897,2.833490064,-0.580712577,0.361328685,-2.315590631,0.020580631,0.067844736
Morn4,177.3893045,-0.580392862,0.276869513,-2.096738154,0.036016761,0.103603349
LOC100911728,5.590827942,-0.580281107,0.487121711,-1.192639879,0.23301044,0.389669679
Adra1a,27.82240707,-0.579919663,0.387485726,-1.49785661,0.134170509,0.266601345
Irf2bpl,2899.55373,-0.579699821,0.175639888,-3.300545436,0.000964971,0.005836091
LOC103691645,9.33999071,-0.579676708,0.481398076,-1.221314126,0.221967107,0.377020799
LOC108352149,2.985602113,-0.579666494,0.361255555,-2.340039937,0.019281678,0.064470715
LOC120094875,2.699781941,-0.57950923,0.36098504,-2.292571906,0.021872663,0.071005742
Mcm6,450.1844843,-0.579498412,0.186581835,-3.106110606,0.001895658,0.010077748
RGD1564425,8.590735209,-0.579453127,0.487963337,-1.196807135,0.231381737,0.387580085
LOC120103622,3.112561863,-0.579411712,0.361386592,-2.366378881,0.017963051,0.061034262
LOC102549876,2.337168059,-0.57934768,0.398271611,-1.615655538,0.106168809,0.227367695
LOC120095131,6.680787703,-0.579143278,0.485165451,-1.195665567,0.231827093,0.388150771
Ino80c,2874.014719,-0.579122926,0.248328506,-2.332118077,0.01969448,0.065635289
Hmgxb4,467.9255513,-0.579097798,0.198294771,-2.920653428,0.003492982,0.016624835
LOC120097836,3.811434339,-0.579005572,0.398756151,-1.640940008,0.100809869,0.219326223
LOC103690178,10.19840714,-0.578943605,0.470457754,-1.232642164,0.217709299,0.371798078
LOC102554564,170.0922169,-0.57891368,0.305655473,-1.894377434,0.058174929,0.1479547
LOC108349515,54.24917349,-0.578911468,0.376167754,-1.539984096,0.12356423,0.252674407
Shisa8,18.01112257,-0.578284863,0.470085837,-1.230981599,0.218329746,0.372651739
LOC120095167,3.120413668,-0.578281143,0.414284284,-1.541328423,0.123236875,0.252227524
Lyrm1,195.7228042,-0.578217431,0.248035574,-2.331293683,0.019737879,0.065756287
Tfr2,13.26848426,-0.577879068,0.468496632,-1.234716396,0.216936072,0.370915085
Raver2,47.90771323,-0.577828613,0.36592762,-1.580148973,0.114072754,0.238687777
Pde4d,258.7717614,-0.577436306,0.233353456,-2.47498602,0.013324139,0.04837166
Zfp57,304.7421716,-0.577308336,0.281223301,-2.053025096,0.040070144,0.111940983
LOC120101102,2.492880254,-0.577292446,0.380740713,-1.939613247,0.05242671,0.136768216
Rnf10,9899.863651,-0.57708941,0.253058328,-2.280477251,0.022579398,0.072777644
Anxa6,939.5226931,-0.57706722,0.231095086,-2.497199702,0.012517844,0.046110127
LOC120102257,12.90487658,-0.576827614,0.485618167,-1.190605734,0.2338084,0.390621602
LOC120096268,2.304001918,-0.576740114,0.376262827,-1.874335751,0.060884163,0.152977647
LOC108350763,5.153397018,-0.576371475,0.442641686,-1.35854553,0.174290646,0.318791528
Nfatc1,162.6652638,-0.576200523,0.279968294,-2.058635778,0.039529143,0.110807089
Aldoa,5662.828259,-0.575857863,0.176255885,-3.267189665,0.001086209,0.006404315
LOC120094237,1.868301811,-0.575676466,0.358491598,-2.086278012,0.036953447,0.105614638
Ten1,586.0212236,-0.57559309,0.194470496,-2.959978472,0.003076605,0.015001182
U2surp,1596.225488,-0.57559309,0.193760222,-2.970737691,0.002970854,0.014577546
LOC680353,3.132857861,-0.575351185,0.384823272,-1.772487619,0.076313649,0.179442555
Ppidl1,2.80745547,-0.575283505,0.372184742,-1.963017943,0.049644089,0.131282137
LOC120099029,2.612639711,-0.575279417,0.408298065,-1.525078256,0.12723958,0.257633056
Uqcr11,4750.37716,-0.575226093,0.207289781,-2.775009349,0.005520012,0.024038888
Ldhc,19.17356006,-0.575180379,0.440078329,-1.309857649,0.190243996,0.338810452
Cdh26,2.886510328,-0.575135857,0.418059744,-1.500821512,0.133401733,0.265589497
Ndufaf8,1811.560494,-0.575076823,0.185471776,-3.100655613,0.001930927,0.01024762
LOC120102350,8.772716445,-0.575063718,0.481140863,-1.206705741,0.227545487,0.383509905
Nsmce1,588.131638,-0.574919816,0.285909254,-2.010987173,0.044326812,0.120186002
Smc1a,2275.74503,-0.574750155,0.227497151,-2.526471285,0.011521481,0.043326468
Glo1,2057.515515,-0.5745283,0.20031827,-2.86808932,0.004129589,0.019053241
Oas2,3.224675823,-0.574159219,0.457878765,-1.270354931,0.203958229,0.356086757
Qprt,730.4618334,-0.574154321,0.209435301,-2.741596814,0.006114134,0.026087561
LOC120098643,3.930027252,-0.574015896,0.445586202,-1.350523936,0.176847981,0.322225814
LOC120095272,11.89840802,-0.574008764,0.485724502,-1.189869137,0.23409783,0.39096425
LOC120097754,206.6363271,-0.573954607,0.295576397,-1.942169462,0.052116589,0.13614727
LOC120103151,4.321228994,-0.573921825,0.476543664,-1.221516354,0.221890577,0.376925337
Tcea2,171.6347434,-0.573859474,0.290210921,-1.977821529,0.047948844,0.127677159
Fggy,90.74197527,-0.573590556,0.35734658,-1.605034222,0.108486273,0.23066794
Ccdc191,112.7384766,-0.573559653,0.350407262,-1.637566402,0.101512177,0.22049201
Coq7,986.0792594,-0.573553082,0.205229069,-2.794817081,0.005192909,0.02291578
Mif,3562.856193,-0.573393584,0.233690897,-2.453678085,0.01414035,0.050638184
LOC120095114,2.901092971,-0.573369363,0.359855123,-2.314633534,0.020632996,0.067908705
LOC120096680,2.901092971,-0.573369363,0.359855123,-2.314633534,0.020632996,0.067908705
LOC102555435,5.862114838,-0.572922022,0.479630609,-1.21673843,0.223703752,0.378963885
Zfyve26,134.7184531,-0.57291879,0.268565864,-2.133689314,0.032868221,0.096957593
Lysmd1,335.6390679,-0.57284653,0.199202383,-2.876013099,0.00402733,0.01863708
Otud7a,165.5623181,-0.572812248,0.317344815,-1.805540908,0.07099008,0.170403761
LOC102552097,2.785696263,-0.572758848,0.359654819,-2.296320166,0.021657582,0.070455533
LOC108349032,82.45505613,-0.572714139,0.347757156,-1.648264828,0.099298339,0.217049837
Gstt1,24.48119281,-0.57263979,0.437317373,-1.31050977,0.190023441,0.33854772
Kcnb2,2.557132787,-0.572590116,0.405520302,-1.525632286,0.127101467,0.257409622
LOC102553962,5.449464599,-0.572521421,0.434290027,-1.388548964,0.164969946,0.307007565
Hspg2,407.5931292,-0.572485438,0.228650357,-2.503910873,0.012282897,0.045479585
LOC120098113,3.648458341,-0.57239133,0.381155951,-1.842655393,0.065379341,0.160763762
LOC102548461,37.96488377,-0.572208002,0.383461895,-1.4937911,0.135230229,0.268075062
Isy1,147.9991457,-0.571941037,0.271168707,-2.109346372,0.034914695,0.101302329
Fbxo16,38.61416914,-0.571649039,0.386850693,-1.479305308,0.139058735,0.273442855
Snrnp25,743.3158957,-0.571397133,0.174398732,-3.276539766,0.001050875,0.006239634
Rab11fip1,8.693121638,-0.57125134,0.482483634,-1.199037487,0.230513369,0.386684405
Ykt6,2167.681043,-0.571128193,0.181200403,-3.151932482,0.001621938,0.00891657
Rack1,10973.21285,-0.570534948,0.184735489,-3.088401659,0.002012363,0.010612982
H2bu1,2.839748216,-0.570492492,0.371203852,-1.958027095,0.050226833,0.132332505
Serf1,555.7632219,-0.57045752,0.188880963,-3.020336739,0.002524938,0.012757472
Rnf187,4810.125254,-0.570401984,0.219398291,-2.599880385,0.009325626,0.036722252
