GENE,SNP,baseMean,EFFECTSIZE,lfcSE,stat,pvalue,P
Rflnb,Rflnb,188.3192759,-1.516563815,0.243261443,-6.232904832,4.58E-10,1.80E-08
Mospd4,Mospd4,11.18592444,-1.515847781,0.487852918,-3.174145775,0.001502782,0.008378258
RGD1561662,RGD1561662,46.5634305,-1.515230306,0.436256981,-3.480440682,0.00050059,0.003408819
Frmd3,Frmd3,282.7783445,-1.51498249,0.205394528,-7.374349434,1.65E-13,1.21E-11
Phospho1,Phospho1,7.828413173,-1.514515674,0.486738718,-3.087488465,0.002018556,0.010630527
Bod1l1,Bod1l1,1433.718057,-1.514453915,0.213482145,-7.094011946,1.30E-12,8.48E-11
LOC120103541,LOC120103541,4.882559376,-1.513551909,0.473372316,-3.326084303,0.000880753,0.005415053
LOC120097807,LOC120097807,4.882559376,-1.513551909,0.473372316,-3.326084303,0.000880753,0.005415053
LOC120098979,LOC120098979,12.41917261,-1.512735964,0.488056237,-3.197529714,0.001386101,0.007848084
LOC102553020,LOC102553020,17.13568439,-1.510121455,0.482524159,-3.179363071,0.001475991,0.008248734
Trnap-agg_17,Trnap-agg_17,46.78287775,-1.509821178,0.392276771,-3.850391757,0.000117929,0.001021372
RGD1311703,RGD1311703,3179.66869,-1.509478366,0.219396963,-6.880116893,5.98E-12,3.47E-10
Phex,Phex,33.68336455,-1.504838545,0.442341305,-3.406738244,0.000657441,0.00424642
Tbrg1,Tbrg1,39.78950649,-1.502249812,0.38186424,-3.930128958,8.49E-05,0.000772855
Hpse2,Hpse2,5.506507471,-1.501919219,0.464924928,-3.8710589,0.000108364,0.000948197
LOC120096253,LOC120096253,7.892729902,-1.501446775,0.468877347,-3.601598417,0.000316267,0.002329645
Kif5c,Kif5c,2490.512002,-1.50087346,0.181932882,-8.249468534,1.59E-16,1.82E-14
LOC120096653,LOC120096653,11.21237498,-1.499913763,0.487804863,-3.169530821,0.001526853,0.008481854
LOC120097431,LOC120097431,4.961239587,-1.499508356,0.464961404,-3.805584551,0.00014147,0.001192939
Timd4,Timd4,4.920587388,-1.497989275,0.472545377,-3.315795982,0.000913825,0.005586897
RGD1565611,RGD1565611,5.166973213,-1.497970453,0.46480556,-3.82907649,0.000128625,0.001102169
Uaca,Uaca,87.75507255,-1.497137966,0.35918633,-4.16681615,3.09E-05,0.00032748
Taf3,Taf3,360.2986317,-1.49605261,0.223831829,-6.683385543,2.33E-11,1.21E-09
LOC303590,LOC303590,871.6874546,-1.495936812,0.172593848,-8.66696588,4.44E-18,5.84E-16
Tlr10,Tlr10,46.61514571,-1.493257801,0.397537279,-3.753087903,0.00017467,0.001422441
Ccdc183,Ccdc183,6.27901624,-1.493218795,0.484850676,-3.106741032,0.00189162,0.010062053
Mns1,Mns1,45.21002352,-1.492492045,0.395010201,-3.773823463,0.000160765,0.00132139
LOC102549557,LOC102549557,9.663416588,-1.492249626,0.486252123,-3.16866884,0.001531388,0.008499408
LOC120102331,LOC120102331,52.3339028,-1.491570075,0.367983622,-4.047982604,5.17E-05,0.000506852
Ndrg2,Ndrg2,2920.415624,-1.491268036,0.232069104,-6.425995539,1.31E-10,5.83E-09
Cavin2,Cavin2,34.02540307,-1.491245657,0.379438552,-3.926088407,8.63E-05,0.000783639
LOC120100798,LOC120100798,7.071629925,-1.490096369,0.488007882,-3.075405739,0.002102164,0.011002094
LOC120097860,LOC120097860,12.71094361,-1.490091765,0.485856182,-3.12114243,0.001801509,0.009688335
LOC102552590,LOC102552590,7.445037531,-1.489616567,0.463863201,-4.048389797,5.16E-05,0.000506239
LOC120102856,LOC120102856,5.027674433,-1.488115329,0.473776602,-3.340752901,0.000835515,0.005181426
LOC108351554,LOC108351554,21.80818093,-1.48749839,0.429418307,-3.45795576,0.000544291,0.003635729
LOC108352025,LOC108352025,5.803890686,-1.48743272,0.464043432,-3.891152642,9.98E-05,0.00088554
Eomes,Eomes,7.2776653,-1.48724397,0.477770896,-3.237639452,0.00120523,0.0069883
Testin,Testin,5.582470986,-1.486776741,0.464091703,-3.861954596,0.000112483,0.00097924
LOC103691988,LOC103691988,6.114324289,-1.485631356,0.478748029,-3.200006047,0.001374247,0.007790481
Mturn,Mturn,326.8203289,-1.485036474,0.208619921,-7.11707973,1.10E-12,7.25E-11
Wdr31,Wdr31,57.5937226,-1.483374019,0.310883001,-4.766002319,1.88E-06,2.89E-05
Zbtb47,Zbtb47,1885.987011,-1.482294312,0.193448778,-7.662421309,1.82E-14,1.54E-12
LOC102556363,LOC102556363,8.160045401,-1.481026211,0.469571916,-3.629610322,0.000283849,0.002135261
Ubr4,Ubr4,2329.827513,-1.481000745,0.236692403,-6.257131144,3.92E-10,1.56E-08
LOC108350959,LOC108350959,20.16720619,-1.480750144,0.434808087,-3.395682372,0.000684578,0.004387874
LOC103694950,LOC103694950,5.028749985,-1.478487506,0.463791325,-3.789459377,0.000150975,0.001255398
LOC108353239,LOC108353239,23.09144497,-1.478444822,0.44452571,-3.32631812,0.000880014,0.005414103
LOC120103463,LOC120103463,13.37989921,-1.477988435,0.485515647,-3.075646923,0.002100464,0.010996303
LOC120096340,LOC120096340,6.494037662,-1.477646523,0.463377517,-3.948054131,7.88E-05,0.000726858
Hoxb4,Hoxb4,4.62442318,-1.476704697,0.463818498,-3.738687721,0.000184983,0.001493316
